                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4031,                 3.7581,                 1.0759,                0.00399,                0.30414,                0.04717,                  0.034,                 1.2306,                 3.5643,                 1.0465,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.1788,                 3.6017,                 1.0431,                0.00483,                0.36096,                 0.1325,                0.08657,                 1.2469,                 3.5243,                 1.0617,             8.3185e-05,             8.3185e-05,             8.3185e-05
                      3,                 1.2009,                 3.3679,                 1.0413,                0.00524,                0.38369,                0.23566,                0.15102,                 1.3094,                 3.4905,                 1.0467,             0.00013283,             0.00013283,             0.00013283
                      4,                 1.1047,                 2.8946,                0.99553,                0.00602,                0.42447,                0.28603,                0.18542,                 1.3306,                  3.416,                 1.0315,             0.00018228,             0.00018228,             0.00018228
                      5,                  1.251,                 2.2118,                0.95309,                0.00684,                0.53543,                0.31727,                0.20269,                  1.315,                 3.2847,                 1.0027,             0.00023153,             0.00023153,             0.00023153
                      6,                 1.2061,                 1.9712,                  1.036,                0.00685,                0.47646,                 0.3098,                0.19151,                 1.2904,                 3.1716,                 1.0019,             0.00028058,             0.00028058,             0.00028058
                      7,                 1.2949,                 1.8609,                 0.9522,                0.95614,                0.23644,                  0.281,                0.17684,                  1.283,                  3.122,                0.99016,             0.00032944,             0.00032944,             0.00032944
                      8,                 1.0841,                 1.5279,                0.98144,                0.95501,                0.23864,                 0.2721,                0.17358,                 1.2826,                 3.1318,                 0.9952,              0.0003781,              0.0003781,              0.0003781
                      9,                 1.1065,                 1.6665,                0.98078,                0.55054,                0.25396,                0.26486,                0.16489,                 1.2495,                 3.1583,                0.99097,             0.00042655,             0.00042655,             0.00042655
                     10,                 1.0987,                 1.5208,                 0.9961,                0.41509,                0.11127,                0.25992,                0.16127,                  1.234,                 3.1815,                0.98462,             0.00047482,             0.00047482,             0.00047482
                     11,                 1.0976,                 1.4701,                0.93904,                0.41554,                0.05605,                0.26573,                0.16707,                 1.2843,                 3.1546,                 1.0142,             0.00052288,             0.00052288,             0.00052288
                     12,                 1.0488,                 1.5251,                 0.9534,                0.00787,                0.64639,                0.23977,                0.15071,                 1.2875,                 3.2077,                 1.0481,             0.00057074,             0.00057074,             0.00057074
                     13,                 1.0767,                 1.5944,                 0.9986,                0.00724,                0.65307,                0.21152,                0.13243,                 1.3748,                  3.348,                 1.1039,             0.00061841,             0.00061841,             0.00061841
                     14,                 1.0119,                 1.4102,                0.99865,                 0.0073,                0.63503,                0.14608,                0.08602,                 1.4955,                 3.4162,                 1.1926,             0.00066588,             0.00066588,             0.00066588
                     15,                 1.0876,                 1.3634,                0.94462,                0.00691,                 0.6123,                0.10068,                0.04893,                 1.5465,                 3.5521,                 1.2083,             0.00071315,             0.00071315,             0.00071315
                     16,                 1.0612,                 1.5142,                0.96384,                 0.0069,                 0.6123,                0.10567,                0.05213,                 1.5636,                 3.5177,                 1.2469,             0.00076022,             0.00076022,             0.00076022
                     17,                 1.2142,                 1.3025,                 1.0309,                0.00858,                0.72126,                0.11042,                0.05772,                 1.4734,                 3.4011,                 1.2251,             0.00080709,             0.00080709,             0.00080709
                     18,                  1.076,                 1.3251,                0.97998,                  0.845,                0.05102,                0.17545,                0.09958,                 1.4166,                 3.2032,                 1.1756,             0.00085377,             0.00085377,             0.00085377
                     19,                 1.1477,                 1.2773,                0.99708,                0.79265,                0.07955,                0.17302,                0.10216,                 1.2997,                 3.0978,                 1.1505,             0.00090025,             0.00090025,             0.00090025
                     20,                 1.0825,                 1.2947,                0.96842,                0.75252,                0.07955,                0.17552,                0.09473,                 1.3544,                 3.1328,                 1.1869,             0.00094653,             0.00094653,             0.00094653
                     21,                 1.0318,                 1.2926,                0.96059,                0.72461,                0.07434,                0.16149,                0.08106,                 1.3747,                 3.1294,                 1.2419,             0.00099261,             0.00099261,             0.00099261
                     22,                 1.0996,                 1.2901,                0.95431,                0.68907,                0.05538,                0.17608,                0.08519,                 1.4169,                 3.1739,                 1.2124,              0.0010385,              0.0010385,              0.0010385
                     23,                 1.0728,                 1.2485,                0.99702,                0.68349,                0.06818,                0.09631,                0.04998,                 1.4424,                 3.2032,                 1.1506,              0.0010842,              0.0010842,              0.0010842
                     24,                 1.0482,                 1.1705,                0.94552,                0.66251,                0.06818,                0.12301,                0.06929,                  1.459,                 3.3155,                 1.1735,              0.0011297,              0.0011297,              0.0011297
                     25,                0.99479,                 1.2019,                0.93217,                 0.2239,                0.05682,                 0.0986,                0.05971,                 1.5069,                 3.3866,                 1.1627,               0.001175,               0.001175,               0.001175
                     26,                 1.1223,                 1.2853,                0.97507,                0.33351,                  0.114,                0.07689,                0.04267,                 1.5455,                 3.4001,                 1.2156,              0.0012201,              0.0012201,              0.0012201
                     27,                 1.0473,                   1.27,                0.99017,                  0.261,                0.04078,                0.04245,                0.02729,                 1.4761,                 3.3973,                 1.2585,              0.0012649,              0.0012649,              0.0012649
                     28,                 1.1265,                 1.1931,                 0.9949,                0.26711,                0.04078,                0.05333,                0.03547,                 1.5053,                  3.337,                 1.2928,              0.0013096,              0.0013096,              0.0013096
                     29,                 1.0913,                 1.2951,                 1.0082,                0.26711,                0.04078,                0.05333,                0.03547,                 1.5053,                  3.337,                 1.2928,              0.0013541,              0.0013541,              0.0013541
                     30,                 1.0369,                 1.1511,                0.96955,                 0.7144,                0.02941,                0.05765,                0.03032,                 1.5651,                 3.3411,                  1.294,              0.0013984,              0.0013984,              0.0013984
                     31,                0.96619,                 1.1355,                0.92908,                0.72139,                0.02941,                0.19643,                0.09654,                  1.529,                 3.2594,                 1.2704,              0.0014425,              0.0014425,              0.0014425
                     32,                 1.0639,                 1.1714,                 0.9827,                0.40029,                0.35986,                0.27932,                0.15065,                 1.6283,                  3.254,                 1.3334,              0.0014864,              0.0014864,              0.0014864
                     33,                 1.0533,                 1.1785,                0.98323,                0.40029,                0.35986,                0.27932,                0.15065,                 1.6283,                  3.254,                 1.3334,              0.0015302,              0.0015302,              0.0015302
                     34,                0.97513,                 1.0781,                0.94101,                0.50287,                0.16452,                0.27152,                0.13532,                 1.6623,                 3.6056,                   1.37,              0.0015581,              0.0015581,              0.0015581
                     35,                0.97038,                 1.1648,                0.96061,                0.41734,                0.31228,                0.26924,                0.12338,                 1.7298,                  3.793,                 1.3652,              0.0015548,              0.0015548,              0.0015548
